# CSV-File created with merge-csv.com
# -----------------------------------------------------------

Timestamp,TrafficCount
2020-01-28 22:30:00,2418.00
2020-01-28 23:30:00,1598.00
2020-01-29 00:30:00,751.00
2020-01-29 01:30:00,301.00
2020-01-29 02:30:00,400.00
2020-01-29 03:30:00,263.00
2020-01-29 04:30:00,640.00
2020-01-29 05:30:00,789.00
2020-01-29 06:30:00,902.00
2020-01-29 07:30:00,3080.00
2020-01-29 08:30:00,7548.00
2020-01-29 09:30:00,16324.00
2020-01-29 10:30:00,27762.00
2020-01-29 11:30:00,37382.00
2020-01-29 12:30:00,28917.00
2020-01-29 13:30:00,33851.00
2020-01-29 14:30:00,39130.00
2020-01-29 15:30:00,30129.00
2020-01-29 16:30:00,28605.00
2020-01-29 17:30:00,21211.00
2020-01-29 18:30:00,14628.00
2020-01-29 19:30:00,7809.00
2020-01-29 20:30:00,5129.00
2020-01-29 21:30:00,5841.00
2020-01-29 22:30:00,2739.00
2020-01-29 23:30:00,1168.00
2020-01-30 00:30:00,544.00
2020-01-30 01:30:00,651.00
2020-01-30 02:30:00,339.00
2020-01-30 03:30:00,232.00
2020-01-30 04:30:00,317.00
2020-01-30 05:30:00,815.00
2020-01-30 06:30:00,358.00
2020-01-30 07:30:00,1100.00
2020-01-30 08:30:00,3025.00
2020-01-30 09:30:00,6309.00
2020-01-30 10:30:00,11269.00
2020-01-30 11:30:00,12526.00
2020-01-30 12:30:00,9999.00
2020-01-30 13:30:00,10471.00
2020-01-30 14:30:00,13108.00
2020-01-30 15:30:00,9376.00
2020-01-30 16:30:00,8639.00
2020-01-30 17:30:00,5820.00
2020-01-30 18:30:00,3393.00
2020-01-30 19:30:00,8998.00
2020-01-30 20:30:00,5970.00
2020-01-30 21:30:00,4107.00
2020-01-30 22:30:00,3923.00
2020-01-30 23:30:00,2472.00
2020-01-31 00:30:00,1161.00
2020-01-31 01:30:00,645.00
2020-01-31 02:30:00,831.00
2020-01-31 03:30:00,556.00
2020-01-31 04:30:00,1427.00
2020-01-31 05:30:00,1051.00
2020-01-31 06:30:00,864.00
2020-01-31 07:30:00,4353.00
2020-01-31 08:30:00,10232.00
2020-01-31 09:30:00,21852.00
2020-01-31 10:30:00,37863.00
2020-01-31 11:30:00,36079.00
2020-01-31 12:30:00,24861.00
2020-01-31 13:30:00,28332.00
2020-01-31 14:30:00,32294.00
2020-01-31 15:30:00,23005.00
2020-01-31 16:30:00,21279.00
2020-01-31 17:30:00,13542.00
2020-01-31 18:30:00,9496.00
2020-01-31 19:30:00,6625.00
2020-01-31 20:30:00,3396.00
2020-01-31 21:30:00,1684.00
2020-01-31 22:30:00,559.00
2020-01-31 23:30:00,429.00
2020-02-01 00:30:00,286.00
2020-02-01 01:30:00,221.00
2020-02-01 02:30:00,236.00
2020-02-01 03:30:00,149.00
2020-02-01 04:30:00,56.00
2020-02-01 05:30:00,211.00
2020-02-01 06:30:00,259.00
2020-02-01 07:30:00,212.00
2020-02-01 08:30:00,237.00
2020-02-01 09:30:00,373.00
2020-02-01 10:30:00,544.00
2020-02-01 11:30:00,308.00
2020-02-01 12:30:00,539.00
2020-02-01 13:30:00,506.00
2020-02-01 14:30:00,364.00
2020-02-01 15:30:00,449.00
2020-02-01 16:30:00,505.00
2020-02-01 17:30:00,996.00
2020-02-01 18:30:00,795.00
2020-02-01 19:30:00,1231.00
2020-02-01 20:30:00,555.00
2020-02-01 21:30:00,980.00
2020-02-01 22:30:00,830.00
2020-02-01 23:30:00,592.00
2020-02-02 00:30:00,433.00
2020-02-02 01:30:00,298.00
2020-02-02 02:30:00,369.00
2020-02-02 03:30:00,83.00
2020-02-02 04:30:00,72.00
2020-02-02 05:30:00,393.00
2020-02-02 06:30:00,248.00
2020-02-02 07:30:00,158.00
2020-02-02 08:30:00,262.00
2020-02-02 09:30:00,169.00
2020-02-02 10:30:00,267.00
2020-02-02 11:30:00,371.00
2020-02-02 12:30:00,175.00
2020-02-02 13:30:00,343.00
2020-02-02 14:30:00,345.00
2020-02-02 15:30:00,264.00
2020-02-02 16:30:00,384.00
2020-02-02 17:30:00,373.00
2020-02-02 18:30:00,794.00
2020-02-02 19:30:00,394.00
2020-02-02 20:30:00,453.00
2020-02-02 21:30:00,519.00
2020-02-02 22:30:00,351.00
2020-02-02 23:30:00,226.00
2020-02-03 00:00:00,226.00
2020-02-03 00:30:00,253.00
2020-02-03 01:30:00,430.00
2020-02-03 02:30:00,320.00
2020-02-03 03:30:00,61.00
2020-02-03 04:30:00,170.00
2020-02-03 05:30:00,410.00
2020-02-03 06:30:00,1715.00
2020-02-03 07:30:00,7151.00
2020-02-03 08:30:00,23007.00
2020-02-03 09:30:00,38202.00
2020-02-03 10:30:00,48400.00
2020-02-03 11:30:00,51732.00
2020-02-03 12:30:00,49840.00
2020-02-03 13:30:00,48296.00
2020-02-03 14:30:00,51504.00
2020-02-03 15:30:00,47353.00
2020-02-03 16:30:00,29297.00
2020-02-03 17:30:00,20724.00
2020-02-03 18:30:00,15797.00
2020-02-03 19:30:00,9279.00
2020-02-03 20:30:00,5940.00
2020-02-03 21:30:00,5182.00
2020-02-03 22:30:00,8270.00
2020-02-03 23:30:00,2491.00
2020-02-04 00:30:00,1271.00
2020-02-04 01:30:00,1365.00
2020-02-04 02:30:00,1124.00
2020-02-04 03:30:00,696.00
2020-02-04 04:30:00,744.00
2020-02-04 05:30:00,1413.00
2020-02-04 06:30:00,673.00
2020-02-04 07:30:00,1680.00
2020-02-04 08:30:00,4392.00
2020-02-04 09:30:00,7610.00
2020-02-04 10:30:00,9712.00
2020-02-04 11:30:00,12749.00
2020-02-04 12:30:00,10195.00
2020-02-04 13:30:00,27878.00
2020-02-04 14:30:00,9606.00
2020-02-04 15:30:00,7756.00
2020-02-04 16:30:00,13059.00
2020-02-04 17:30:00,35759.00
2020-02-04 18:30:00,21837.00
2020-02-04 19:30:00,8549.00
2020-02-04 20:30:00,5839.00
2020-02-04 21:30:00,4069.00
2020-02-04 22:30:00,3326.00
2020-02-04 23:30:00,2052.00
2020-02-05 00:30:00,1567.00
2020-02-05 01:30:00,1202.00
2020-02-05 02:30:00,970.00
2020-02-05 03:30:00,744.00
2020-02-05 04:30:00,1383.00
2020-02-05 05:30:00,1602.00
2020-02-05 06:30:00,1746.00
2020-02-05 07:30:00,3531.00
2020-02-05 08:30:00,8311.00
2020-02-05 09:30:00,16081.00
2020-02-05 10:30:00,22185.00
2020-02-05 11:30:00,24878.00
2020-02-05 12:30:00,20172.00
2020-02-05 13:30:00,25485.00
2020-02-05 14:30:00,26411.00
2020-02-05 15:30:00,19250.00
2020-02-05 16:30:00,16733.00
2020-02-05 17:30:00,12314.00
2020-02-05 18:30:00,9963.00
2020-02-05 19:30:00,6966.00
2020-02-05 20:30:00,3710.00
2020-02-05 21:30:00,3843.00
2020-02-05 22:30:00,2304.00
2020-02-05 23:30:00,1417.00
